id,title,budget,genre,popularity,release_date,revenue,runtime,vote_average
205221,,,Adventure,,,,,
205221,,,Family,,,,,
205225,,,Crime,,,,,
205225,,,Drama,,,,,
205236,,,Comedy,,,,,
20525,,,History,,,,,
20525,,,Drama,,,,,
20525,,,Action,,,,,
20526,TRON: Legacy,170000000,Science Fiction,21.259,2010-12-10,400062763.0,125.0,6.3
20526,TRON: Legacy,170000000,Adventure,21.259,2010-12-10,400062763.0,125.0,6.3
20526,TRON: Legacy,170000000,Action,21.259,2010-12-10,400062763.0,125.0,6.3
205263,,,Animation,,,,,
205263,,,Documentary,,,,,
20527,,,Romance,,,,,
20527,,,Foreign,,,,,
20527,,,Drama,,,,,
20528,,,Action,,,,,
20528,,,Drama,,,,,
20528,,,Foreign,,,,,
20529,,,Music,,,,,
20529,,,Romance,,,,,
20529,,,Animation,,,,,
20529,,,Drama,,,,,
20530,,,Drama,,,,,
20531,,,Drama,,,,,
20532,,,Drama,,,,,
205321,Sharknado,1000000,Horror,4.928195,2013-07-11,0.0,86.0,3.8
205321,Sharknado,1000000,TV Movie,4.928195,2013-07-11,0.0,86.0,3.8
20533,Jonah Hex,47000000,Drama,9.482806,2010-06-18,10539000.0,80.0,4.5
20533,Jonah Hex,47000000,Thriller,9.482806,2010-06-18,10539000.0,80.0,4.5
20533,Jonah Hex,47000000,Western,9.482806,2010-06-18,10539000.0,80.0,4.5
20533,Jonah Hex,47000000,Action,9.482806,2010-06-18,10539000.0,80.0,4.5
20533,Jonah Hex,47000000,Fantasy,9.482806,2010-06-18,10539000.0,80.0,4.5
20534,,,Drama,,,,,
20534,,,Foreign,,,,,
20534,,,Romance,,,,,
205349,,,Comedy,,,,,
20536,,,Drama,,,,,
20536,,,History,,,,,
205361,,,Drama,,,,,
205361,,,History,,,,,
205361,,,TV Movie,,,,,
20537,,,Drama,,,,,
20537,,,History,,,,,
20539,The Crucible,25000000,Drama,9.412825,1996-11-27,0.0,124.0,6.7
20539,The Crucible,25000000,History,9.412825,1996-11-27,0.0,124.0,6.7
2054,,,Drama,,,,,
2054,,,Family,,,,,
2054,,,Music,,,,,
20540,The Pawnbroker,500000,Drama,2.58471,1965-04-20,0.0,116.0,7.3
205410,,,Comedy,,,,,
20542,Delgo,40000000,Family,2.915814,2008-12-12,0.0,94.0,5.4
20542,Delgo,40000000,Adventure,2.915814,2008-12-12,0.0,94.0,5.4
20542,Delgo,40000000,Science Fiction,2.915814,2008-12-12,0.0,94.0,5.4
20542,Delgo,40000000,Comedy,2.915814,2008-12-12,0.0,94.0,5.4
20542,Delgo,40000000,Animation,2.915814,2008-12-12,0.0,94.0,5.4
20542,Delgo,40000000,Fantasy,2.915814,2008-12-12,0.0,94.0,5.4
20543,,,Comedy,,,,,
20544,,,Drama,,,,,
20544,,,TV Movie,,,,,
20545,,,Comedy,,,,,
20546,,,Drama,,,,,
20546,,,History,,,,,
20546,,,Foreign,,,,,
205463,,,Drama,,,,,
205463,,,War,,,,,
205466,Dark Space,750000,Science Fiction,1.017978,2013-01-15,0.0,91.0,4.5
20548,,,Drama,,,,,
205481,,,Drama,,,,,
205481,,,Thriller,,,,,
2055,Open Range,22000000,Western,16.532577,2003-08-29,68296293.0,139.0,7.0
20551,,,Family,,,,,
20551,,,Drama,,,,,
20551,,,Comedy,,,,,
20553,,,Documentary,,,,,
20553,,,Foreign,,,,,
